deathRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,AvgHouseholdSize,PercentMarried,PctHS25_Over,PctUnemployed16_Over,PctPrivateCoverage,BirthRate,region
199.1,41019,8975,15.8,0,46.2,2.48,53.5,49.2,10.9,62.3,1.988950276,South
189.5,38387,24758,19.7,0,41.8,2.57,51.5,48.4,8,59.7,5.300938708,South
183.8,37242,40971,20,24.40750775,42.5,2.47,48.9,40.9,9.9,54.6,4.112005292,South
259.5,29331,8755,26.1,114.2204455,46.3,2.28,54.1,43,14.8,45.1,4.203539823,South
202.6,40013,15816,18.5,0,46,2.46,51.4,48.7,8.1,63.5,6.161137441,South
185.8,38600,5880,20.3,0,45,2.4,52.2,47.6,8.4,61.6,5.968928863,South
185.5,41932,86452,17.2,173.5066858,42.5,2.37,51.1,38.1,8.6,63,6.23870268,South
235.4,34419,22151,22.8,0,42.8,2.48,55.7,46,10.1,54.6,6.018614271,West
206,42063,20148,17.8,0,51.4,2.47,50.9,43.7,10.1,63.9,3.861129137,Midwest
217.5,41294,15843,14.9,0,42.2,2.29,45.9,35,7.9,62.7,6.460336538,Midwest
168.4,46375,45563,13.7,1097.381647,43.9,2.35,55.8,39.8,6,68.4,5.884312202,Midwest
171.7,44395,14977,13.6,0,50.8,2.16,58.5,30.2,7.2,65.9,5.547054323,Midwest
158.6,54141,258718,12,1213.676667,36.8,2.46,51.4,31.3,6.1,72.5,5.921762149,Midwest
166.4,50998,13192,10.5,151.6070346,45,2.29,59,42.5,3.7,73.4,7.17472119,Midwest
190.1,41810,15159,16.5,0,50.9,2.08,59,40,7.5,64.2,4.96054115,Midwest
157.9,68430,49762,5.9,0,39,2.66,62,33.8,3.1,84.1,4.330985915,Midwest
160.1,52485,63531,10.7,487.9507642,40.6,2.44,55.6,38.5,5.1,73.4,5.497771174,Midwest
157.6,45316,34445,16,0,37.1,2.65,58.2,43.3,4.8,56.6,9.86429301,Midwest
176.6,59020,56743,8.8,0,42,2.44,54.9,34.9,5.8,78.2,4.654466449,Midwest
176.4,43562,16391,14.7,122.0181807,45.9,2.38,52.3,42.7,6.5,67.4,5.300353357,Midwest
153.8,61937,523643,13.4,129.8594653,34.6,2.35,47.5,19,4.9,82.5,4.458527742,Midwest
178.9,54359,88502,9.9,0,42,2.51,51.1,40.2,6,77.7,4.49736915,Midwest
158.7,49717,27554,11,1778.326196,51.7,2.11,62.6,32.9,6.2,75.8,4.481380181,Midwest
192.8,46475,43601,13.9,0,40.6,2.28,47.6,33.2,7,66.5,6.150455775,Midwest
155.6,52224,44497,13.9,0,34.1,2.48,47.6,34.6,6.1,72.4,5.116736739,Midwest
163.4,48102,102105,14.4,675.7749376,33.8,2.43,46.4,26.9,5.8,74.8,4.346348463,Midwest
171.9,44562,4464,12.8,0,51.1,2.32,59.9,39.2,7.2,68.9,3.462050599,Midwest
159.4,52149,101973,9.9,235.3564179,41,2.4,54.8,38.5,5.3,77.1,4.541733098,Midwest
166.4,41418,9057,17,4306.06161,45.3,2.33,52.8,40.7,10.1,59.8,7.250418293,Midwest
166.9,46972,52250,15,0,36.1,2.44,48.6,38.7,4.6,74.8,5.174434328,Midwest
158.4,53328,37186,8.7,0,42.2,2.47,56.7,39,3.5,78.2,5.46031746,Midwest
152.3,61802,17110,8.2,0,458.4,2.46,58.1,29.5,3.5,83.4,9.675645959,Midwest
169.9,40351,5220,16,191.5708812,46.1,2.29,56.5,31.1,1.4,64.9,5.360824742,Midwest
187.4,43883,3091,12.1,0,49.5,2.21,61,42.3,3.1,75.6,7.992565056,Midwest
138.2,55955,5937,9.2,0,38.8,2.61,62.7,35,2.6,76.1,5.678233438,Midwest
120.2,49517,5163,10.7,0,48.9,2.15,67,37,1.7,74,6.35451505,Midwest
215,41344,7064,34,0,28.6,3.3,40.9,35.5,14.4,39.9,8.467741935,Midwest
156.3,44726,4154,12.3,0,46,2.21,64.2,42.6,1.4,70.5,5.01285347,Midwest
159.2,69191,20248,7.4,0,41.2,2.48,63.5,31.1,1.4,82.4,5.725611099,West
142.1,53290,9367,13.6,0,30.1,2.33,53.9,20.5,3,82.7,5.981533521,Midwest
162.7,40979,3625,12.7,0,47.5,2.31,57.2,36.1,4.7,69.1,3.524229075,Midwest
164.7,51335,13806,10.6,0,41.3,2.31,56.5,32.6,2,77.4,6.993486459,Midwest
211,46840,24200,13.2,0,38.9,2.51,51.6,35,11.9,63,7.724034496,West
167.7,51241,2114801,15.6,405.2390745,36.4,2.78,44.6,28.8,10.8,62.9,5.125073246,West
145.2,60322,47710,10.3,0,49.4,2.37,58.9,24.7,8.5,70.7,5.193753615,West
143.2,72648,51935,10.8,0,33.5,2.87,56.6,26.8,5.5,73,6.700733537,West
262.1,47180,829,14,0,46.5,2.35,44.3,43.2,11.9,56.5,4.326923077,West
178.7,70535,2016,9.8,0,43.9,2.17,64.7,35.8,4.7,76.4,2.412868633,West
191.5,67423,17019,10.7,0,35.3,2.74,51.6,37.4,7.8,69.4,5.517423442,West
123.8,74347,5903,11,0,37.2,2.79,54.3,37.5,12,69.1,11.63179916,West
127.4,45629,5036,15.1,0,37.4,2.55,56.8,32.1,11.8,64.1,4.519774011,West
195.7,48576,52585,13.7,0,43.2,2.63,51.1,30.2,13.6,61.1,4.62962963,West
254.3,40714,4478,19,0,48.7,0.0225,41.8,31.2,15.4,58.1,9.518477044,West
213.5,42881,42477,16.8,0,50.8,0.0242,54.4,35.6,13.4,53.1,6.302577113,West
121.8,52001,6634,18.5,0,41.3,2.29,44.8,35.4,9.5,59.9,14.62113127,West
132.6,55291,3987,8.4,0,54.7,2.2,53.5,29.5,10.3,68.5,1.17820324,West
166,52862,446903,15.4,170.0592746,37.6,2.58,47,24,9.1,65.4,5.642578635,West
188.4,57243,9811,13.7,0,39.4,2.71,44.8,34.5,10.6,67.6,5.470459519,West
193.5,45639,54521,19.3,36.68311293,42.6,2.43,45.1,28.6,11.3,61.3,4.262413265,West
182.6,59831,60641,10,329.8098646,46.1,2.42,54.2,31.5,5.3,69.6,4.824422651,Northeast
168.8,57556,47285,10.7,0,50.3,2.22,59.4,31.4,5.8,70,7.381867511,Northeast
162.8,56008,75909,11.8,13.17366847,42,2.34,48.4,33.8,6.1,75,4.687933426,Northeast
181.6,42491,31212,14.9,32.03895937,48.1,2.13,51.5,39.1,6.9,61.8,5.975049245,Northeast
155,56353,89320,11.6,78.36990596,41.9,2.35,48.5,28.6,5,72.3,6.078496198,Northeast
163.2,71233,406678,8.7,105.7347582,40.1,2.55,51.4,27.2,5.9,76.7,5.055576216,Northeast
173.1,62429,147994,9.5,378.3937187,42.6,2.49,51.5,28.4,5.2,76.3,3.901815696,Northeast
172.2,79653,301777,6.1,72.90151337,43.5,2.51,56.8,26.9,5.6,82.7,4.370734571,Northeast
177.6,58577,126825,11.8,94.61856889,37.2,2.48,46.8,28,6.5,74.8,3.681800261,Northeast
171.9,57142,42967,10.4,0,45.1,2.44,50.9,37,5.8,69.6,3.657874742,Northeast
179.5,54208,274219,15.1,43.76064386,40.6,2.64,45.1,32.9,12.5,66.9,4.69661296,Northeast
147.3,84309,938506,7.6,330.3122196,41.5,2.73,54.2,24.3,6.5,75.5,4.077070131,Northeast
171.6,80479,450226,7.2,446.4424533,41,2.66,50.8,29.5,8.5,81.4,4.910516481,Northeast
182.8,61685,510923,13,972.7493184,38.3,2.71,44.7,31.3,10.2,68.3,5.434939238,Northeast
193.1,55409,94727,13,179.4630887,48.3,2.3,53.4,34.1,10,72.1,5.43325019,Northeast
189.6,45438,155854,19.5,128.3252275,36.9,2.86,39.6,39.4,11.1,59.4,5.846434788,Northeast
161.8,54603,797434,16.7,137.9424504,36.9,2.77,39.1,28.7,13,59.9,5.084469955,Northeast
193.5,78983,291479,8.2,106.3541456,39.6,2.74,51.7,34.3,9.2,78,4.878014043,Northeast
152.6,57720,674836,17.7,1.481841514,34.7,2.63,41.5,26.1,9.3,56.5,5.344239425,Northeast
145.1,103876,125488,4.7,47.81333673,45,2.6,57.7,22.7,5.9,87.5,4.22223833,Northeast
160.3,73750,371398,11.8,96.93105509,38.4,2.69,47.2,25.6,9.4,73.1,4.725836381,Northeast
156.7,77330,840900,8.3,89.19015341,37.7,2.85,51.6,26.3,7.5,74.6,5.074989438,Northeast
168.6,87220,628715,8.2,146.3302132,42.3,2.67,53.2,25.6,7.9,78.8,4.571872443,Northeast
150.3,100511,499509,5,122.1199218,42,2.72,56.7,22.5,6.3,84,3.635690867,Northeast
174.2,62937,588721,11.9,62.84810632,42.8,2.59,53.6,36.1,8.8,70.9,6.13243835,Northeast
159.1,58030,510916,18.2,60.67533606,36.5,3.09,44.3,34.8,8.6,55.8,4.533343875,Northeast
194.8,56645,64180,13.1,62.32471175,41.8,2.61,48.7,38.6,10.6,69.1,5.98109071,Northeast
153.3,100194,333654,5,329.6828451,40.8,2.81,56.6,21.9,6,82.2,4.842990108,Northeast
176.4,82048,143673,6.2,132.2447502,43.4,2.67,55.9,31,8.2,80.9,4.625184917,Northeast
155.6,68172,555786,11.1,25.18955137,38.1,2.91,46.5,29.7,9.8,65.9,5.746896424,Northeast
175.1,71294,106869,8.3,28.0717514,42.6,2.52,54.5,34,9,76.9,4.839230894,Northeast
147.1,47192,676685,18.7,294.0807022,36.5,2.52,43.7,23.8,8.4,58.5,5.264795797,West
164.7,33256,3456,22.2,0,57.1,2.44,49.4,36.3,4.6,62.3,0.689655172,West
164.5,38403,65764,23.4,0,34.8,2.72,48.1,27,7.6,49.6,8.496374333,West
146.5,35081,27329,28.8,0,36.2,2.98,38.1,36.5,15.3,40.4,6.744769874,West
139.9,37156,12414,20.5,0,47.6,2.26,48.3,33.9,9.5,57.1,5.741042345,West
143.8,42620,50398,19.2,0,30.7,2.72,48.7,25.2,9.1,56.9,7.197033541,West
243.6,33789,1828,20.6,0,47.3,3.84,27.6,42.9,5.2,53.4,0,West
150.8,38974,214295,27.9,111.9951469,32.4,2.8,46.2,22,11.5,49.6,5.880465757,West
170.8,57007,57578,14.1,0,36.5,2.66,50.3,34,5.8,62.3,9.558702453,West
159.4,38221,28609,19.1,454.4024608,46.5,2.37,45.8,26.9,9.7,57,5.998550199,West
142.8,29147,4371,25.8,0,41.6,3.28,33.7,40.2,1.2,60.6,3.558718861,West
166.3,34304,4423,24.5,678.2726656,41.8,2.47,46.1,31,12.2,42.7,5.485232068,West
166.2,58994,71180,16.6,0,31.8,3.08,53.3,30.5,5.9,55.6,7.530333184,West
123.4,39995,19420,20.1,1287.332647,50.4,2.33,52.2,26.6,7.3,54.5,8.532518066,West
114.5,108477,17785,4.2,0,43.5,2.34,65.5,10.8,3.5,89.6,5.543652919,West
181.8,27268,24518,30.6,0,39,2.7,47.1,31.6,13.8,37.5,8.62924023,West
137.7,29497,76708,35.8,0,30.8,3.97,33.5,33.1,15.5,25,7.322096363,West
134.3,27627,4596,24.2,0,42.6,2.81,41.2,35.6,5.4,27.8,1.084812623,West
161.1,41736,64362,20.2,15.53711818,35.6,2.63,49.1,29.5,12.7,53.2,8.221797323,West
190.6,29069,8455,23.9,0,45.7,2.59,45,38.8,5,54.8,4.063068526,West
155.5,34902,39465,24.1,0,40.1,2.86,41.9,31.8,11.4,48.8,3.902327704,West
163.5,36108,19120,24,0,29.4,2.62,45.1,25.3,9.7,54.7,4.392712551,West
135.7,56142,139394,12.6,0,469.2,2.83,49.7,25.9,9.2,63.8,5.497053425,West
136.7,47520,118737,21,202.1273908,34.2,3.04,46.6,32.1,9.2,50.4,6.09617959,West
158.2,32964,27967,25.5,0,42.5,2.51,33,28.4,6.4,46.4,5.744748568,West
126.1,52628,148686,14.2,60.53024495,44.4,2.35,47.6,21.4,7.9,60.1,4.017424976,West
190.3,29036,11282,23.8,0,55.6,2.25,47.9,33.7,6.8,50.8,8.198614319,West
167.8,32285,17256,31,0,36.8,3.43,28.5,33.4,7.3,50.5,2.688172043,West
135.2,36125,32907,19.2,0,46.8,2.44,42.4,25.4,10.7,47.3,4.706601467,West
164.3,37311,15485,27.6,64.57862448,43.3,2.81,49.1,34.2,11.2,42,2.98792117,West
151.6,36684,4201,19.4,0,40.3,2.39,44.5,35.3,2.1,48.2,3.536585366,West
163.1,40591,75737,24.5,330.0896524,38.5,2.78,49.2,31.9,12.4,52.6,6.407674997,West
176.1,60371,309381,13.5,420.193871,37.9,2.35,40.8,26.5,6.4,77.7,3.774039071,Northeast
177.2,42655,47462,18.3,0,38.3,2.36,47.6,38.7,9.2,67.8,4.844731809,Northeast
162,33687,1455444,31.5,241.1635212,33.2,2.86,31,27.3,14,43.1,5.67890152,Northeast
163.6,46283,196567,17.2,106.8338022,39.9,2.37,43.8,32.2,7.8,69.2,4.2987606,Northeast
167.9,43892,77922,16.2,0,41.4,2.41,48.7,40.9,8.2,67.3,4.82052462,Northeast
158.6,52792,78288,12.7,102.1867975,42.5,0.0243,46.8,34.1,7.3,71,5.470136014,Northeast
173.2,41757,130779,19.3,267.6270655,41.7,2.36,47,35.5,7.8,66.5,6.073151538,Northeast
183.8,48880,87071,18.2,195.2429626,40.9,2.35,48.3,35.6,5.4,68.8,5.089635277,Northeast
180.3,46387,48844,16.7,0,43.8,0.0249,50.2,39.2,7.1,66,5.052412881,Northeast
194.2,34842,51881,20.5,19.27487905,46,2.32,52,34.1,10,59.8,6.007452513,South
111.3,38636,2214,14.6,0,59,2.1,63.1,38.6,1.1,69.4,10.79136691,South
200.6,64350,36314,10.2,0,44.5,2.57,58.1,27.7,8.3,76.5,3.667228197,South
149,75926,73147,7.9,27.34220132,45.4,2.49,58.3,21.1,5.1,81.1,4.819607038,South
180.3,46331,7158,14.8,0,45.9,2.46,53.7,41.1,5.5,65.7,9.290030211,South
195.7,76206,25515,7.5,0,36.6,2.96,56.6,30.3,7.4,83.5,6.194544857,South
187.4,64305,16269,8.8,0,40.7,2.66,58.5,39.4,5.4,75.6,6.631716907,South
190.6,45827,10965,13.7,0,55.6,2.13,51.4,32.8,7.9,71,4.297328688,South
224.2,31429,24742,26.6,0,42.8,2.52,49.8,33.6,12,52.5,6.208251473,South
136.5,122641,375629,3.9,449.9120142,35.3,3.08,61.2,13.8,4,86.9,6.198748382,South
191,60121,34602,11.5,0,43.7,2.64,55.1,37,8.1,67.4,5.015546843,South
189.8,37548,12299,22.4,0,44.7,2.48,45.7,34.9,7.3,58.5,7.48049564,South
169.8,52513,13134,12.3,0,44.6,2.58,52.2,36.4,6.6,65.3,6.25698324,South
157.1,58268,8862,10.6,225.6826901,51.1,2.3,63.6,33.3,3.3,80.6,1.906898486,South
213.7,38500,31081,21.1,289.5659728,47.2,2.41,44.4,32.5,6.9,61.7,4.664723032,South
206.9,48921,10606,14.4,94.28625306,52.7,2.38,54.4,32.5,6.3,77.6,2.71468144,South
153.3,43484,97653,24.8,256.00852,27.5,2.48,39.1,21.8,5.6,82.4,3.135414054,South
194.3,48076,14785,13.4,0,48.4,2.33,50,33.6,5.7,69.1,5.74048913,South
201.4,72406,20392,6.2,0,43.1,2.61,60.6,33,6.1,83.8,2.628490965,South
227.1,36822,12155,21.5,0,48.3,2.26,46.4,34.2,9.5,56.8,6.455750321,South
190.5,51422,12232,14.3,0,55.1,2.1,61,31.1,8.7,76.1,7.278020378,South
201.5,37996,15673,24.3,0,41.5,0.0254,42.7,37.1,10.8,59.2,7.331771008,South
177.3,59282,35385,10.7,0,42.6,2.66,54.7,34.7,7.9,69.9,2.100668394,South
199.2,44851,23726,16.9,0,44.1,2.52,53.1,42.9,9.3,63.5,5.963302752,South
178.3,34885,18045,21.9,0,48,2.31,53.5,36,8.3,57.4,2.944539737,South
176.8,44207,62194,14.6,0,546,2.36,53.5,35.3,7.7,66.2,4.194566305,South
175.1,75539,28031,7.1,0,43.7,2.63,57.5,28.6,4.9,83.7,5.615292712,South
188.8,37543,22952,25.5,0,32.1,2.49,36.1,34.6,7,69.6,7.608005083,South
172.1,61792,37862,10.5,0,37.1,3.03,49.7,33.4,10.6,80.5,4.855936413,South
150.1,91886,451721,7.2,19.92380252,34,3.17,55,21.7,5.4,78,6.857756326,South
185.8,46186,34332,14.7,0,45.2,2.3,53.5,34.2,7.4,69.3,6.174957118,South
149.6,62800,7378,9.3,0,49.1,2.26,63.9,25.6,2.9,68.1,5.182481752,South
176.2,42204,8908,19.7,0,43.7,2.47,46.6,40.2,8.7,70.6,8.755129959,South
155.9,61935,94409,8.2,21.18442098,43.5,2.4,55.7,26.4,5.1,79.6,5.4044916690000004,South
159.2,48497,22354,13,0,48.3,2.39,55,36.3,4.1,69.3,6.476146578,South
156.1,55798,78593,11.7,0,41.5,2.57,57,35.5,5.4,72.9,4.834403227,South
212,37378,27891,17.9,0,43.8,2.51,54,36.7,8,56.7,3.255738239,South
196.1,36290,22126,20.8,0,45.4,2.34,57.6,36.2,9.4,62.7,2.248441674,South
171.4,45430,43190,12,0,43.8,2.47,55.6,39.5,6,68.9,7.406593407,South
202.4,37831,31470,19.7,0,44.3,2.43,51.7,38.8,6.4,59.2,6.188734455,South
181.8,46521,18109,15.3,0,45.4,2.53,48.3,34.8,7.2,66.8,5.455508475,South
172.5,75714,130475,9.2,176.2789806,36.7,2.97,56,31.7,6.2,78.3,6.051314143,South
175.6,92647,142003,5.9,0,34.7,3.08,57.4,23.7,5.5,84.1,4.9708185050000004,South
182.2,48707,6709,12.9,0,47.5,2.56,53.2,29.2,10.7,65.2,4.897660819,South
208.4,37748,11715,23.9,0,38.5,2.08,32,40.3,6.9,66.2,3.682946357,South
208.1,38292,42899,19.2,23.31056668,43.1,2.38,53.9,35.8,8,59,6.033920417,South
202.5,60714,39083,11.3,0,40.4,2.62,51.2,36.6,7.2,75.2,5.544668588,South
176.7,43353,54591,14.5,36.63607554,44.7,2.35,53.9,32.9,6.9,67.4,5.091597145,West
179.9,48232,17629,15,0,46.6,2.51,47.6,36.3,9.7,64.7,3.666942377,South
223.4,38528,39718,21.9,0,39.8,2.46,47.5,32.4,11,59.7,3.651138835,South
175.9,41132,29119,15.6,137.3673546,43.6,2.44,53.7,36.4,9.6,63.9,2.933713923,South
152.3,81169,67837,5.5,0,39.5,2.73,61.5,19.6,5.8,87.2,4.925163106,South
135.4,86419,153511,9.6,58.62772049,36,2.21,44.1,12.1,4.5,76.4,6.214827502,South
226.6,34099,17141,21.8,408.3775742,41.8,2.22,46.2,32.8,10.7,57.3,3.86837478,South
240.8,38331,6618,17.2,0,33.8,2.26,48.1,40.5,7.3,59.9,11.88769415,South
178.2,45890,46597,25.9,364.8303539,29.8,0.0239,30.1,22.2,4.3,76.1,2.753790712,South
182.2,66625,235429,9.8,46.72321592,36.5,2.75,52.5,26.5,7.5,77.9,5.746827092,South
159.3,52355,17820,11.5,0,40,2.44,47.4,35.2,8.3,74.6,3.664122137,South
207.4,33646,42082,23.6,356.4469369,41.8,2.2,38.7,28.1,12.7,57.2,3.236583838,South
137.6,125635,13892,3.2,0,37.7,2.57,55.3,7.5,4.2,92.3,3.066180935,South
221.7,38583,8490,22.5,0,38,2.41,34.9,24.9,13.7,59.4,4.927099045,South
180.3,51195,28118,16.8,1280.318657,29.4,2.46,33.7,26.9,8.9,71.3,4.269052202,South
190.3,47615,136454,15.2,168.5549709,35.4,2.51,41,27.3,9.8,69.5,4.72938218,South
150.5,38541,52538,28.3,57.10152651,23.5,2.69,28.7,26.5,6.5,72.8,2.564793362,South
244.9,40122,22378,19.5,0,36.9,2.53,35.3,38.3,12.8,62,5.969289827,South
194.5,40065,79812,25,388.41277,28.7,2.37,35.6,25.1,8,69.1,5.96087761,South
155.2,72510,41764,9.8,0,33.3,3.27,53.3,26,7.5,69.1,6.93416809,South
191.9,48440,182385,16.7,159.0043041,32.8,2.5,41.1,28.2,9.1,68.8,5.236698785,South
193.6,42567,246393,23.4,523.5538347,30,2.53,34.1,26.9,10.9,63,6.373340936,South
197.3,31620,3939,21.6,3046.458492,39.3,2.21,43.1,19.4,11.1,59.8,3.938223938,South
224.4,32749,32477,25.8,0,39.5,2.44,29.5,34,13,53.1,4.372408594,South
159.2,84213,12059,5.9,0,43.8,2.59,60.3,27,4.5,87.7,4.361370717,South
218.1,43045,96201,18.3,187.1082421,34.9,2.54,37.8,28.9,11.6,62.4,5.954956101,South
193.1,34267,17403,32.4,0,22.3,2.57,25.3,22.6,8.8,76.1,1.039129729,South
200.2,42074,220289,25,122.5662652,32.9,2.33,26.2,23,10,59.3,4.888983425,South
201.2,40735,99897,20.4,430.4433567,38,2.29,38.7,30.4,8.3,59.2,6.673085779,South
186.6,54195,25432,10.2,432.5259516,40.5,2.29,47.3,29.8,4.8,75.1,4.6092503990000004,South
176.1,42552,24416,16.5,0,42.3,2.21,43.6,30.9,5.6,68.4,3.909798832,South
199.3,60735,88161,13.6,11.34288404,38.3,2.75,50.4,28.3,8,73.4,5.719705952,South
168.1,67676,452745,8.6,88.34995417,35,2.63,50.1,22.4,6.1,80,5.841796248,South
210.5,44843,21491,14.6,0,38.5,2.32,47.9,38.5,4.9,61.7,7.446377985,South
