deathRate,medIncome,popEst2015,povertyPercent,studyPerCap,MedianAge,Geography,AvgHouseholdSize,PercentMarried,PctHS18_24,PctHS25_Over,PctUnemployed16_Over,PctPrivateCoverage,PctEmpPrivCoverage,PctPublicCoverage,BirthRate
168.6,37468,29126,20.8,0,43.2,"Randolph County, West Virginia",2.35,52.2,35.7,46.3,6.7,59.6,40.5,43.3,4.231027535
214.7,46383,9982,17.7,0,45.2,"Ritchie County, West Virginia",2.56,49.5,38,47.9,10.6,57.4,37,46.9,6.267539757
204,33041,14435,23.1,0,44.2,"Roane County, West Virginia",2.48,53.9,45.8,46.5,8.9,51.6,32.9,51.8,2.353331124
170.4,32456,13239,25.8,0,46.3,"Summers County, West Virginia",2.22,53.5,46.2,40.5,10,60.2,35.2,49.6,3.812668868
172.2,40305,16912,16.8,0,43,"Taylor County, West Virginia",2.45,52.3,44.6,43.6,9.5,63.7,43.9,42.6,6.801152738
168.1,36466,6966,17.1,0,47.7,"Tucker County, West Virginia",2.26,60.5,50.6,52.7,7.6,68,46.1,39.3,3.868613139
199.1,41019,8975,15.8,0,46.2,"Tyler County, West Virginia",2.48,53.5,44.1,49.2,10.9,62.3,38.9,43,1.988950276
189.5,38387,24758,19.7,0,41.8,"Upshur County, West Virginia",2.57,51.5,39.1,48.4,8,59.7,41.3,40.2,5.300938708
183.8,37242,40971,20,24.40750775,42.5,"Wayne County, West Virginia",2.47,48.9,43.3,40.9,9.9,54.6,37,45.6,4.112005292
259.5,29331,8755,26.1,114.2204455,46.3,"Webster County, West Virginia",2.28,54.1,54.6,43,14.8,45.1,28.2,53.3,4.203539823
202.6,40013,15816,18.5,0,46,"Wetzel County, West Virginia",2.46,51.4,52.5,48.7,8.1,63.5,39.7,44.6,6.161137441
185.8,38600,5880,20.3,0,45,"Wirt County, West Virginia",2.4,52.2,31.6,47.6,8.4,61.6,44,41.4,5.968928863
185.5,41932,86452,17.2,173.5066858,42.5,"Wood County, West Virginia",2.37,51.1,36.5,38.1,8.6,63,42.2,42,6.23870268
235.4,34419,22151,22.8,0,42.8,"Wyoming County, West Virginia",2.48,55.7,33.7,46,10.1,54.6,36.7,49.9,6.018614271
206,42063,20148,17.8,0,51.4,"Adams County, Wisconsin",2.47,50.9,44.6,43.7,10.1,63.9,34.1,50.8,3.861129137
217.5,41294,15843,14.9,0,42.2,"Ashland County, Wisconsin",2.29,45.9,31.3,35,7.9,62.7,39.4,42.5,6.460336538
168.4,46375,45563,13.7,1097.381647,43.9,"Barron County, Wisconsin",2.35,55.8,44.4,39.8,6,68.4,43.2,39.2,5.884312202
171.7,44395,14977,13.6,0,50.8,"Bayfield County, Wisconsin",2.16,58.5,28.8,30.2,7.2,65.9,37.2,44.1,5.547054323
158.6,54141,258718,12,1213.676667,36.8,"Brown County, Wisconsin",2.46,51.4,28.7,31.3,6.1,72.5,54.6,30,5.921762149
166.4,50998,13192,10.5,151.6070346,45,"Buffalo County, Wisconsin",2.29,59,39,42.5,3.7,73.4,49.3,34.5,7.17472119
190.1,41810,15159,16.5,0,50.9,"Burnett County, Wisconsin",2.08,59,34.9,40,7.5,64.2,34.3,48.2,4.96054115
157.9,68430,49762,5.9,0,39,"Calumet County, Wisconsin",2.66,62,27.9,33.8,3.1,84.1,66.3,22.4,4.330985915
160.1,52485,63531,10.7,487.9507642,40.6,"Chippewa County, Wisconsin",2.44,55.6,36.1,38.5,5.1,73.4,50.8,33.9,5.497771174
157.6,45316,34445,16,0,37.1,"Clark County, Wisconsin",2.65,58.2,35.4,43.3,4.8,56.6,34.1,34,9.86429301
176.6,59020,56743,8.8,0,42,"Columbia County, Wisconsin",2.44,54.9,39.2,34.9,5.8,78.2,55.8,29.4,4.654466449
176.4,43562,16391,14.7,122.0181807,45.9,"Crawford County, Wisconsin",2.38,52.3,48.5,42.7,6.5,67.4,43.9,41,5.300353357
153.8,61937,523643,13.4,129.8594653,34.6,"Dane County, Wisconsin",2.35,47.5,21.9,19,4.9,82.5,62.8,22.6,4.458527742
178.9,54359,88502,9.9,0,42,"Dodge County, Wisconsin",2.51,51.1,45.6,40.2,6,77.7,51.7,30.3,4.49736915
158.7,49717,27554,11,1778.326196,51.7,"Door County, Wisconsin",2.11,62.6,31,32.9,6.2,75.8,42.4,39.5,4.481380181
192.8,46475,43601,13.9,0,40.6,"Douglas County, Wisconsin",2.28,47.6,26.9,33.2,7,66.5,47.1,37.9,6.150455775
155.6,52224,44497,13.9,0,34.1,"Dunn County, Wisconsin",2.48,47.6,25.4,34.6,6.1,72.4,50.2,32.3,5.116736739
163.4,48102,102105,14.4,675.7749376,33.8,"Eau Claire County, Wisconsin",2.43,46.4,26.6,26.9,5.8,74.8,54.2,29.4,4.346348463
171.9,44562,4464,12.8,0,51.1,"Florence County, Wisconsin",2.32,59.9,15.7,39.2,7.2,68.9,38.9,41.8,3.462050599
159.4,52149,101973,9.9,235.3564179,41,"Fond du Lac County, Wisconsin",2.4,54.8,33.8,38.5,5.3,77.1,54.8,30.6,4.541733098
166.4,41418,9057,17,4306.06161,45.3,"Forest County, Wisconsin",2.33,52.8,42.2,40.7,10.1,59.8,35.1,43.9,7.250418293
166.9,46972,52250,15,0,36.1,"Grant County, Wisconsin",2.44,48.6,23.8,38.7,4.6,74.8,50.5,30.4,5.174434328
158.4,53328,37186,8.7,0,42.2,"Green County, Wisconsin",2.47,56.7,40.9,39,3.5,78.2,53.9,30.2,5.46031746
152.3,61802,17110,8.2,0,458.4,"Seward County, Nebraska",2.46,58.1,22.7,29.5,3.5,83.4,55,24.3,9.675645959
169.9,40351,5220,16,191.5708812,46.1,"Sheridan County, Nebraska",2.29,56.5,26.2,31.1,1.4,64.9,28.1,38.3,5.360824742
187.4,43883,3091,12.1,0,49.5,"Sherman County, Nebraska",2.21,61,14.8,42.3,3.1,75.6,44.3,35.3,7.992565056
138.2,55955,5937,9.2,0,38.8,"Stanton County, Nebraska",2.61,62.7,29.1,35,2.6,76.1,48.8,28,5.678233438
120.2,49517,5163,10.7,0,48.9,"Thayer County, Nebraska",2.15,67,22.7,37,1.7,74,39.3,36.1,6.35451505
215,41344,7064,34,0,28.6,"Thurston County, Nebraska",3.3,40.9,32.9,35.5,14.4,39.9,26.1,39.1,8.467741935
156.3,44726,4154,12.3,0,46,"Valley County, Nebraska",2.21,64.2,34.4,42.6,1.4,70.5,35.6,38.3,5.01285347
159.2,69191,20248,7.4,0,41.2,"Washington County, Nebraska",2.48,63.5,24.9,31.1,1.4,82.4,58.2,22.9,5.725611099
142.1,53290,9367,13.6,0,30.1,"Wayne County, Nebraska",2.33,53.9,17.7,20.5,3,82.7,57.2,22.2,5.981533521
162.7,40979,3625,12.7,0,47.5,"Webster County, Nebraska",2.31,57.2,31.1,36.1,4.7,69.1,38.5,38.3,3.524229075
164.7,51335,13806,10.6,0,41.3,"York County, Nebraska",2.31,56.5,25.8,32.6,2,77.4,44.1,28.9,6.993486459
211,46840,24200,13.2,0,38.9,"Churchill County, Nevada",2.51,51.6,39.3,35,11.9,63,34.9,37,7.724034496
167.7,51241,2114801,15.6,405.2390745,36.4,"Clark County, Nevada",2.78,44.6,35.5,28.8,10.8,62.9,45.4,27.3,5.125073246
145.2,60322,47710,10.3,0,49.4,"Douglas County, Nevada",2.37,58.9,38.6,24.7,8.5,70.7,39.6,35.8,5.193753615
143.2,72648,51935,10.8,0,33.5,"Elko County, Nevada",2.87,56.6,33.7,26.8,5.5,73,60.9,18.5,6.700733537
262.1,47180,829,14,0,46.5,"Esmeralda County, Nevada",2.35,44.3,62.7,43.2,11.9,56.5,34.9,37.1,4.326923077
178.7,70535,2016,9.8,0,43.9,"Eureka County, Nevada",2.17,64.7,19.2,35.8,4.7,76.4,52.6,18.6,2.412868633
191.5,67423,17019,10.7,0,35.3,"Humboldt County, Nevada",2.74,51.6,40.2,37.4,7.8,69.4,53.9,20.6,5.517423442
123.8,74347,5903,11,0,37.2,"Lander County, Nevada",2.79,54.3,51.6,37.5,12,69.1,53.7,24.4,11.63179916
127.4,45629,5036,15.1,0,37.4,"Lincoln County, Nevada",2.55,56.8,38.4,32.1,11.8,64.1,48.5,31.5,4.519774011
195.7,48576,52585,13.7,0,43.2,"Lyon County, Nevada",2.63,51.1,36.7,30.2,13.6,61.1,38.6,37.5,4.62962963
254.3,40714,4478,19,0,48.7,"Mineral County, Nevada",0.0225,41.8,42.3,31.2,15.4,58.1,36.4,43.2,9.518477044
213.5,42881,42477,16.8,0,50.8,"Nye County, Nevada",0.0242,54.4,41.2,35.6,13.4,53.1,30.2,48.2,6.302577113
121.8,52001,6634,18.5,0,41.3,"Pershing County, Nevada",2.29,44.8,28.9,35.4,9.5,59.9,38.1,34.7,14.62113127
132.6,55291,3987,8.4,0,54.7,"Storey County, Nevada",2.2,53.5,43.5,29.5,10.3,68.5,40.6,34.1,1.17820324
166,52862,446903,15.4,170.0592746,37.6,"Washoe County, Nevada",2.58,47,28.7,24,9.1,65.4,45.7,28.1,5.642578635
188.4,57243,9811,13.7,0,39.4,"White Pine County, Nevada",2.71,44.8,47.1,34.5,10.6,67.6,48.4,31.9,5.470459519
193.5,45639,54521,19.3,36.68311293,42.6,"Carson City, Nevada",2.43,45.1,33.7,28.6,11.3,61.3,41.5,35.6,4.262413265
182.6,59831,60641,10,329.8098646,46.1,"Belknap County, New Hampshire",2.42,54.2,37.9,31.5,5.3,69.6,48.6,33.9,4.824422651
168.8,57556,47285,10.7,0,50.3,"Carroll County, New Hampshire",2.22,59.4,44.4,31.4,5.8,70,40.2,36.4,7.381867511
162.8,56008,75909,11.8,13.17366847,42,"Cheshire County, New Hampshire",2.34,48.4,24.1,33.8,6.1,75,55,28.7,4.687933426
181.6,42491,31212,14.9,32.03895937,48.1,"Coos County, New Hampshire",2.13,51.5,43.9,39.1,6.9,61.8,38.6,43.5,5.975049245
155,56353,89320,11.6,78.36990596,41.9,"Grafton County, New Hampshire",2.35,48.5,25.6,28.6,5,72.3,51,29.4,6.078496198
163.2,71233,406678,8.7,105.7347582,40.1,"Hillsborough County, New Hampshire",2.55,51.4,31.8,27.2,5.9,76.7,59,25.2,5.055576216
173.1,62429,147994,9.5,378.3937187,42.6,"Merrimack County, New Hampshire",2.49,51.5,29.9,28.4,5.2,76.3,56.3,28.3,3.901815696
172.2,79653,301777,6.1,72.90151337,43.5,"Rockingham County, New Hampshire",2.51,56.8,30.9,26.9,5.6,82.7,62.1,22.3,4.370734571
177.6,58577,126825,11.8,94.61856889,37.2,"Strafford County, New Hampshire",2.48,46.8,23.5,28,6.5,74.8,54.5,26.2,3.681800261
171.9,57142,42967,10.4,0,45.1,"Sullivan County, New Hampshire",2.44,50.9,44,37,5.8,69.6,48.8,33.3,3.657874742
179.5,54208,274219,15.1,43.76064386,40.6,"Atlantic County, New Jersey",2.64,45.1,32.4,32.9,12.5,66.9,45.3,33.4,4.69661296
147.3,84309,938506,7.6,330.3122196,41.5,"Bergen County, New Jersey",2.73,54.2,25,24.3,6.5,75.5,57.8,23.3,4.077070131
171.6,80479,450226,7.2,446.4424533,41,"Burlington County, New Jersey",2.66,50.8,34.5,29.5,8.5,81.4,58.6,25.7,4.910516481
182.8,61685,510923,13,972.7493184,38.3,"Camden County, New Jersey",2.71,44.7,33.2,31.3,10.2,68.3,51.4,31.9,5.434939238
193.1,55409,94727,13,179.4630887,48.3,"Cape May County, New Jersey",2.3,53.4,33.2,34.1,10,72.1,44.8,38.2,5.43325019
189.6,45438,155854,19.5,128.3252275,36.9,"Cumberland County, New Jersey",2.86,39.6,40.9,39.4,11.1,59.4,43.4,38.4,5.846434788
161.8,54603,797434,16.7,137.9424504,36.9,"Essex County, New Jersey",2.77,39.1,29,28.7,13,59.9,46.3,31.7,5.084469955
193.5,78983,291479,8.2,106.3541456,39.6,"Gloucester County, New Jersey",2.74,51.7,30.4,34.3,9.2,78,60.1,26.2,4.878014043
152.6,57720,674836,17.7,1.481841514,34.7,"Hudson County, New Jersey",2.63,41.5,25,26.1,9.3,56.5,44.6,29.6,5.344239425
145.1,103876,125488,4.7,47.81333673,45,"Hunterdon County, New Jersey",2.6,57.7,29.8,22.7,5.9,87.5,67.5,20.5,4.22223833
160.3,73750,371398,11.8,96.93105509,38.4,"Mercer County, New Jersey",2.69,47.2,25,25.6,9.4,73.1,55.9,27.4,4.725836381
156.7,77330,840900,8.3,89.19015341,37.7,"Middlesex County, New Jersey",2.85,51.6,22.1,26.3,7.5,74.6,59.8,23,5.074989438
168.6,87220,628715,8.2,146.3302132,42.3,"Monmouth County, New Jersey",2.67,53.2,26.8,25.6,7.9,78.8,58.1,24.2,4.571872443
150.3,100511,499509,5,122.1199218,42,"Morris County, New Jersey",2.72,56.7,25.9,22.5,6.3,84,65.8,19.8,3.635690867
174.2,62937,588721,11.9,62.84810632,42.8,"Ocean County, New Jersey",2.59,53.6,29.3,36.1,8.8,70.9,46.3,38.5,6.13243835
159.1,58030,510916,18.2,60.67533606,36.5,"Passaic County, New Jersey",3.09,44.3,32.8,34.8,8.6,55.8,43.6,35.3,4.533343875
194.8,56645,64180,13.1,62.32471175,41.8,"Salem County, New Jersey",2.61,48.7,36.5,38.6,10.6,69.1,50.4,35.2,5.98109071
153.3,100194,333654,5,329.6828451,40.8,"Somerset County, New Jersey",2.81,56.6,27.4,21.9,6,82.2,65.8,19.2,4.842990108
176.4,82048,143673,6.2,132.2447502,43.4,"Sussex County, New Jersey",2.67,55.9,28,31,8.2,80.9,63.4,22.2,4.625184917
155.6,68172,555786,11.1,25.18955137,38.1,"Union County, New Jersey",2.91,46.5,29.8,29.7,9.8,65.9,51.1,27.5,5.746896424
175.1,71294,106869,8.3,28.0717514,42.6,"Warren County, New Jersey",2.52,54.5,27,34,9,76.9,58.3,26.3,4.839230894
147.1,47192,676685,18.7,294.0807022,36.5,"Bernalillo County, New Mexico",2.52,43.7,25.7,23.8,8.4,58.5,39.2,37.7,5.264795797
164.7,33256,3456,22.2,0,57.1,"Catron County, New Mexico",2.44,49.4,24.1,36.3,4.6,62.3,30.7,44.3,0.689655172
164.5,38403,65764,23.4,0,34.8,"Chaves County, New Mexico",2.72,48.1,28.7,27,7.6,49.6,32.2,44.9,8.496374333
146.5,35081,27329,28.8,0,36.2,"Cibola County, New Mexico",2.98,38.1,34.1,36.5,15.3,40.4,26.7,50.4,6.744769874
139.9,37156,12414,20.5,0,47.6,"Colfax County, New Mexico",2.26,48.3,31.3,33.9,9.5,57.1,27.6,50,5.741042345
143.8,42620,50398,19.2,0,30.7,"Curry County, New Mexico",2.72,48.7,34.4,25.2,9.1,56.9,27.4,38.7,7.197033541
243.6,33789,1828,20.6,0,47.3,"De Baca County, New Mexico",3.84,27.6,8.6,42.9,5.2,53.4,29.2,49.3,0
150.8,38974,214295,27.9,111.9951469,32.4,"Doña Ana County, New Mexico",2.8,46.2,21.3,22,11.5,49.6,32,43.5,5.880465757
170.8,57007,57578,14.1,0,36.5,"Eddy County, New Mexico",2.66,50.3,35.6,34,5.8,62.3,44.6,34.9,9.558702453
159.4,38221,28609,19.1,454.4024608,46.5,"Grant County, New Mexico",2.37,45.8,30.5,26.9,9.7,57,32,52.6,5.998550199
142.8,29147,4371,25.8,0,41.6,"Guadalupe County, New Mexico",3.28,33.7,37.7,40.2,1.2,60.6,34.5,50.5,3.558718861
166.3,34304,4423,24.5,678.2726656,41.8,"Hidalgo County, New Mexico",2.47,46.1,48.5,31,12.2,42.7,23.4,51.9,5.485232068
166.2,58994,71180,16.6,0,31.8,"Lea County, New Mexico",3.08,53.3,32.1,30.5,5.9,55.6,42,33.4,7.530333184
123.4,39995,19420,20.1,1287.332647,50.4,"Lincoln County, New Mexico",2.33,52.2,26,26.6,7.3,54.5,26.7,51.7,8.532518066
114.5,108477,17785,4.2,0,43.5,"Los Alamos County, New Mexico",2.34,65.5,26,10.8,3.5,89.6,66.7,21.2,5.543652919
181.8,27268,24518,30.6,0,39,"Luna County, New Mexico",2.7,47.1,44.3,31.6,13.8,37.5,21.8,55.1,8.62924023
137.7,29497,76708,35.8,0,30.8,"McKinley County, New Mexico",3.97,33.5,35.8,33.1,15.5,25,16.8,47.9,7.322096363
134.3,27627,4596,24.2,0,42.6,"Mora County, New Mexico",2.81,41.2,10.6,35.6,5.4,27.8,14.3,62.7,1.084812623
161.1,41736,64362,20.2,15.53711818,35.6,"Otero County, New Mexico",2.63,49.1,34.1,29.5,12.7,53.2,19.5,47.2,8.221797323
190.6,29069,8455,23.9,0,45.7,"Quay County, New Mexico",2.59,45,36.3,38.8,5,54.8,29.3,51.2,4.063068526
155.5,34902,39465,24.1,0,40.1,"Rio Arriba County, New Mexico",2.86,41.9,31.7,31.8,11.4,48.8,32,42.5,3.902327704
163.5,36108,19120,24,0,29.4,"Roosevelt County, New Mexico",2.62,45.1,12.8,25.3,9.7,54.7,32.4,40,4.392712551
135.7,56142,139394,12.6,0,469.2,"Sandoval County, New Mexico",2.83,49.7,30.7,25.9,9.2,63.8,43.1,35.9,5.497053425
136.7,47520,118737,21,202.1273908,34.2,"San Juan County, New Mexico",3.04,46.6,31,32.1,9.2,50.4,36.4,37.1,6.09617959
158.2,32964,27967,25.5,0,42.5,"San Miguel County, New Mexico",2.51,33,24.6,28.4,6.4,46.4,24.1,48.1,5.744748568
126.1,52628,148686,14.2,60.53024495,44.4,"Santa Fe County, New Mexico",2.35,47.6,25.9,21.4,7.9,60.1,36.3,35.9,4.017424976
190.3,29036,11282,23.8,0,55.6,"Sierra County, New Mexico",2.25,47.9,51.8,33.7,6.8,50.8,22.5,57.6,8.198614319
167.8,32285,17256,31,0,36.8,"Socorro County, New Mexico",3.43,28.5,31.9,33.4,7.3,50.5,31.9,47.1,2.688172043
135.2,36125,32907,19.2,0,46.8,"Taos County, New Mexico",2.44,42.4,36.4,25.4,10.7,47.3,23.8,50.3,4.706601467
164.3,37311,15485,27.6,64.57862448,43.3,"Torrance County, New Mexico",2.81,49.1,30.9,34.2,11.2,42,24.8,52.1,2.98792117
151.6,36684,4201,19.4,0,40.3,"Union County, New Mexico",2.39,44.5,23.7,35.3,2.1,48.2,28.7,44.4,3.536585366
163.1,40591,75737,24.5,330.0896524,38.5,"Valencia County, New Mexico",2.78,49.2,36.2,31.9,12.4,52.6,33.9,46.1,6.407674997
176.1,60371,309381,13.5,420.193871,37.9,"Albany County, New York",2.35,40.8,23.6,26.5,6.4,77.7,57.6,30.1,3.774039071
177.2,42655,47462,18.3,0,38.3,"Allegany County, New York",2.36,47.6,21.4,38.7,9.2,67.8,45.7,38.7,4.844731809
162,33687,1455444,31.5,241.1635212,33.2,"Bronx County, New York",2.86,31,26.4,27.3,14,43.1,29.5,52,5.67890152
